"","method","time_mean","time_sd","MISE","ISE_sd","RKHS_MSE","RKHS_SE_sd","lambda_log_mean","lambda_log_sd","tau_log_mean","tau_log_sd","ratio_log_mean","ratio_log_sd"
"1","adaptive_adhoc",0.0333755207061768,0.0022593255361544,0.264399357476292,0.0317941448392378,NA,NA,NA,NA,NA,NA,NA,NA
"2","adaptive_cv_optim",8.43428380727768,3.97914209850106,0.0640315954644902,0.0813460024037383,NA,NA,NA,NA,NA,NA,NA,NA
"3","fixed_lscv",0.00671983242034912,0.0013273221806078,0.0696408420623208,0.0589045945771218,NA,NA,NA,NA,NA,NA,NA,NA
"4","fixed_ns",0.000663173198699951,0.000561626136275237,0.378986769888814,0.0211017180686509,NA,NA,NA,NA,NA,NA,NA,NA
"5","fixed_pi",0.00125104427337646,6.73451686478622e-05,0.134953794459219,0.0398893152524686,NA,NA,NA,NA,NA,NA,NA,NA
"6","fixed_scv",0.00588641881942749,0.000631212280242148,0.119818533664816,0.0394204579886158,NA,NA,NA,NA,NA,NA,NA,NA
"7","kef_mll",31.6745706868172,26.2626730074575,0.171671354933991,0.0912673450759785,239.657188269231,96.4556883988083,0.777419142634355,0.535218406631654,-1.0079471608353,0.975334446719801,2.56278544610401,0.378711512326561
"8","kef_rot",3.78006771802902,0.369568014857532,0.125763516416317,0.0475378800566659,89.7457894794388,42.4245082276071,0,0,-3.13033376849501,0,3.13033376849501,0
