"","method","time_mean","time_se","MISE","ISE_se","RKHS_MSE","RKHS_SE_se","lambda_log_mean","lambda_log_se","tau_log_mean","tau_log_se","ratio_log_mean","ratio_log_se"
"1","adaptive_adhoc",0.00409948825836182,4.60243585738963e-05,0.0534081421662647,0.00743015664914791,NA,NA,NA,NA,NA,NA,NA,NA
"2","fixed_lscv",0.0113434791564941,0.000610286366437746,0.0576987596957784,0.0121122334281306,NA,NA,NA,NA,NA,NA,NA,NA
"3","fixed_ns",0.000636100769042969,0.000123068797651811,0.0562165827583099,0.0114426489246346,NA,NA,NA,NA,NA,NA,NA,NA
"4","fixed_pi",0.00982546806335449,0.00107828497230271,0.0553418690763933,0.0108198407285762,NA,NA,NA,NA,NA,NA,NA,NA
"5","fixed_scv",0.00850152969360352,0.000552292302886755,0.0585713171316393,0.0135923190743254,NA,NA,NA,NA,NA,NA,NA,NA
"6","kef_mll",16.7614699602127,0.31421537665454,0.164964736269287,0.0543592131688689,106.207962805077,43.5086022817473,-0.901777150054474,1.553121648901,2,0,-3.80355430010895,3.10624329780199
"7","kef_rot",5.90139758586884,0.121640019487291,0.11341242285965,0.0446490534598512,96.0743837276607,30.7942825884922,0,0,-3.13033376849501,0,3.13033376849501,0
