"","method","time_mean","time_se","MISE","ISE_se","RKHS_MSE","RKHS_SE_se","lambda_log_mean","lambda_log_se","tau_log_mean","tau_log_se","ratio_log_mean","ratio_log_se"
"1","adaptive_adhoc",0.0451191878318787,0.0292521097341649,0.058317940326813,0.024712848521837,NA,NA,NA,NA,NA,NA,NA,NA
"2","adaptive_cv_optim",6.1192998957634,5.4682067734952,0.05669621297522,0.0384505437421258,NA,NA,NA,NA,NA,NA,NA,NA
"3","fixed_lscv",0.0397304201126099,0.284404998067011,0.0572065361258839,0.040942809990449,NA,NA,NA,NA,NA,NA,NA,NA
"4","fixed_ns",0.000766391754150391,0.000350489559878707,0.0429024781278143,0.0156595464129377,NA,NA,NA,NA,NA,NA,NA,NA
"5","fixed_pi",0.0129266548156738,0.114991099016923,0.043833543767828,0.018125106444098,NA,NA,NA,NA,NA,NA,NA,NA
"6","fixed_scv",0.0205565547943115,0.129769521442705,0.0438714041524941,0.0179143824398589,NA,NA,NA,NA,NA,NA,NA,NA
"7","kef_mll",9.21930993318558,7.4445342491074,0.00692140793340461,0.0131949623563478,2.84655836416404,9.37788648645182,-0.591182201711727,0.581216398389125,0.963417578586108,1.58435098312301,-2.14578198200956,1.86920319095602
"8","kef_rot",4.85698581695557,3.38927595630799,0.0494652111129533,0.0281728605525739,6.63433935523108,3.5503393603636,0,0,-3.13033376849501,0,3.13033376849501,0
